"monatszahl","auspraegung","jahr","monat","wert"
"Alkoholunfälle","insgesamt",2016,8,34
"Alkoholunfälle","insgesamt",2016,9,29
"Alkoholunfälle","insgesamt",2016,10,30
"Alkoholunfälle","insgesamt",2016,11,20
"Alkoholunfälle","insgesamt",2016,12,20
"Alkoholunfälle","insgesamt",2015,1,22
"Alkoholunfälle","insgesamt",2015,2,23
"Alkoholunfälle","insgesamt",2015,3,23
"Alkoholunfälle","insgesamt",2015,4,29
"Alkoholunfälle","insgesamt",2015,5,50
"Alkoholunfälle","insgesamt",2015,6,39
"Alkoholunfälle","insgesamt",2015,7,49
"Alkoholunfälle","insgesamt",2015,8,49
"Alkoholunfälle","insgesamt",2015,9,45
"Alkoholunfälle","insgesamt",2015,10,25
"Alkoholunfälle","insgesamt",2015,11,30
"Alkoholunfälle","insgesamt",2015,12,27
"Alkoholunfälle","insgesamt",2014,1,21
"Alkoholunfälle","insgesamt",2014,2,17
"Alkoholunfälle","insgesamt",2014,3,37
"Alkoholunfälle","insgesamt",2014,4,35
"Alkoholunfälle","insgesamt",2014,5,28
"Alkoholunfälle","insgesamt",2014,6,31
"Alkoholunfälle","insgesamt",2014,7,35
"Alkoholunfälle","insgesamt",2014,8,32
"Alkoholunfälle","insgesamt",2014,9,43
"Alkoholunfälle","insgesamt",2014,10,36
"Alkoholunfälle","insgesamt",2014,11,42
"Alkoholunfälle","insgesamt",2014,12,25
"Alkoholunfälle","insgesamt",2013,1,17
"Alkoholunfälle","insgesamt",2013,2,15
"Alkoholunfälle","insgesamt",2013,3,21
"Alkoholunfälle","insgesamt",2013,4,28
"Alkoholunfälle","insgesamt",2013,5,33
"Alkoholunfälle","insgesamt",2013,6,37
"Alkoholunfälle","insgesamt",2013,7,42
"Alkoholunfälle","insgesamt",2013,8,39
"Alkoholunfälle","insgesamt",2013,9,47
"Alkoholunfälle","insgesamt",2013,10,31
"Alkoholunfälle","insgesamt",2013,11,35
"Alkoholunfälle","insgesamt",2013,12,32
"Alkoholunfälle","insgesamt",2012,1,21
"Alkoholunfälle","insgesamt",2012,2,18
"Alkoholunfälle","insgesamt",2012,3,21
"Alkoholunfälle","insgesamt",2012,4,34
"Alkoholunfälle","insgesamt",2012,5,54
"Alkoholunfälle","insgesamt",2012,6,43
"Alkoholunfälle","insgesamt",2012,7,56
"Alkoholunfälle","insgesamt",2012,8,55
"Alkoholunfälle","insgesamt",2012,9,49
"Alkoholunfälle","insgesamt",2012,10,32
"Alkoholunfälle","insgesamt",2012,11,30
"Alkoholunfälle","insgesamt",2012,12,27
"Alkoholunfälle","insgesamt",2011,1,25
"Alkoholunfälle","insgesamt",2011,2,25
"Alkoholunfälle","insgesamt",2011,3,22
"Alkoholunfälle","insgesamt",2011,4,43
"Alkoholunfälle","insgesamt",2011,5,43
"Alkoholunfälle","insgesamt",2011,6,27
"Alkoholunfälle","insgesamt",2011,7,39
"Alkoholunfälle","insgesamt",2011,8,34
"Alkoholunfälle","insgesamt",2011,9,36
"Alkoholunfälle","insgesamt",2011,10,26
"Alkoholunfälle","insgesamt",2011,11,40
"Alkoholunfälle","insgesamt",2011,12,37
"Alkoholunfälle","insgesamt",2010,1,19
"Alkoholunfälle","insgesamt",2010,2,23
"Alkoholunfälle","insgesamt",2010,3,31
"Alkoholunfälle","insgesamt",2010,4,33
"Alkoholunfälle","insgesamt",2010,5,34
